dspb,dnase,prok,degrade,reaction_time
0.0,0.0,1.0,-0.02465363526013986,12
0.0,0.0,1.0,-0.058139048177137775,12
0.0,0.0,1.0,-0.05144196559373815,12
0.0,0.0,1.0,0.002134695073458648,12
0.0,0.0,1.0,0.04901427315725593,12
0.0,0.0,1.0,0.055711355740655555,12
0.0,0.0,1.0,0.035620107990456784,12
0.0,0.0,1.0,-0.017956552676740234,12
1.0,0.0,0.0,0.11598509899125187,12
1.0,0.0,0.0,0.14947051190825,12
1.0,0.0,0.0,0.02222594282365753,12
1.0,0.0,0.0,0.1226821815746515,12
1.0,0.0,0.0,0.16286467707504915,12
1.0,0.0,0.0,0.18295592482524803,12
1.0,0.0,0.0,0.1226821815746515,12
1.0,0.0,0.0,0.14277342932485038,12
0.0,1.0,0.0,0.20974425515884643,12
0.0,1.0,0.0,0.19635008999204728,12
0.0,1.0,0.0,-0.004562387509940979,12
0.0,1.0,0.0,0.11598509899125187,12
0.0,1.0,0.0,0.13607634674145075,12
0.0,1.0,0.0,0.15616759449164952,12
0.0,1.0,0.0,0.14947051190825,12
0.0,1.0,0.0,0.15616759449164952,12
0.5,0.0,0.5,0.21644133774224594,12
0.5,0.0,0.5,0.19635008999204728,12
0.5,0.0,0.5,0.18965300740864766,12
0.5,0.0,0.5,0.14277342932485038,12
0.5,0.0,0.5,0.18965300740864766,12
0.5,0.0,0.5,0.1762588422418484,12
0.5,0.0,0.5,0.1762588422418484,12
0.5,0.0,0.5,0.1762588422418484,12
0.0,0.5,0.5,0.18965300740864766,12
0.0,0.5,0.5,0.13607634674145075,12
0.0,0.5,0.5,0.11598509899125187,12
0.0,0.5,0.5,0.11598509899125187,12
0.0,0.5,0.5,0.15616759449164952,12
0.0,0.5,0.5,0.11598509899125187,12
0.0,0.5,0.5,0.18965300740864766,12
0.0,0.5,0.5,0.16286467707504915,12
0.5,0.5,0.0,0.20974425515884643,12
0.5,0.5,0.0,0.1762588422418484,12
0.5,0.5,0.0,0.16956175965844877,12
0.5,0.5,0.0,0.18295592482524803,12
0.5,0.5,0.0,0.18965300740864766,12
0.5,0.5,0.0,0.16956175965844877,12
0.5,0.5,0.0,0.19635008999204728,12
0.5,0.5,0.0,0.14277342932485038,12
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1762588422418484,12
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.18295592482524803,12
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16956175965844877,12
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.19635008999204728,12
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1762588422418484,12
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.18295592482524803,12
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.18965300740864766,12
